<doc id="fb_17610819_JohannJ" delinquent_sexes="male" title="Todesurteil Johann J." attrs="word lemma pos vocab id">
<p id="fb_17610819_JohannJ_p_0001">
ES	es	PPER	Duden	tu_81_xTok_000156
ist	sein	VAFIN	Duden	tu_81_xTok_000159
dieser	diese	PDAT	Duden	tu_81_xTok_000161
Delinquent	Delinquent	NN	Duden	tu_81_xTok_000163
seiner	sein	PPOSAT	Duden	tu_81_xTok_000165
Profeßion	Profession	NN	Duden	tu_81_xTok_000167
ein	ein	ART	Duden	tu_81_xTok_000169
erlernter	erlernen	ADJA	Duden	tu_81_xTok_000171
Maurer=gesell	Maurergeselle	NN	Duden	tu_81_xTok_000173
bereits	bereits	ADV	Duden	tu_81_xTok_000176
Anno	annus	FM	G-LDHW	tu_81_xTok_000178
1754.	1754	CARD		tu_81_xTok_000180
um	um	APPR	Duden	tu_81_xTok_000182
Mitfasten	Mittfasten	NN	Duden	tu_81_xTok_000184
damals	damals	ADV	Duden	tu_81_xTok_000186
feyrend	feiren	ADJD	DWB	tu_81_xTok_000188
das	d	ART	Duden	tu_81_xTok_000189
Erste	erste	ADJA	Duden	tu_81_xTok_000191
mal	Mal	NN	Duden	tu_81_xTok_000191b
wegen	wegen	APPR	Duden	tu_81_xTok_000193
in	in	APPR	Duden	tu_81_xTok_000195
einem	ein	ART	Duden	tu_81_xTok_000197
Keller	Keller	NN	Duden	tu_81_xTok_000199
mit	mit	APPR	Duden	tu_81_xTok_000201
einer	ein	ART	Duden	tu_81_xTok_000203
eisenen	eisen	ADJA	Duden	tu_81_xTok_000205
Ofenstange	Ofenstange	NN	DWB	tu_81_xTok_000207
selbst	selbst	ADV	Duden	tu_81_xTok_000210
geständiger massen	geständigermaßen	ADV		tu_81_xTok_000212
unternehmen	unternehmen	VVINF	Duden	tu_81_xTok_000216
wollenden	wollen	ADJA	Duden	tu_81_xTok_000218
Diebstahls	Diebstahl	NN	Duden	tu_81_xTok_000220
<g/>
,
dann	dann	ADV	Duden	tu_81_xTok_000224
ungehindert	ungehindert	ADJD	Duden	tu_81_xTok_000226
seiner	sein	PPOSAT	Duden	tu_81_xTok_000228
sowol	sowohl	KON	Duden	tu_81_xTok_000230
selbiges	selbige	PDAT	Duden	tu_81_xTok_000232
mal	Mal	NN	Duden	tu_81_xTok_000234
als	als	KON	Duden	tu_81_xTok_000236
auch	auch	ADV	Duden	tu_81_xTok_000238
gleich	gleich	ADV	Duden	tu_81_xTok_000240
darauf	darauf	PAV	Duden	tu_81_xTok_000242
im	im	APPRART	Duden	tu_81_xTok_000245
Monat	Monat	NN	Duden	tu_81_xTok_000247
April	April	NN	Duden	tu_81_xTok_000249
und	und	KON	Duden	tu_81_xTok_000251
May	Mai	NN	Duden	tu_81_xTok_000253
zu	zu	APPR	Duden	tu_81_xTok_000255
mehr	mehr	ADV	Duden	tu_81_xTok_000257
widerholten	wiederholt	ADJA	Duden	tu_81_xTok_000259
malen	Mal	NN	Duden	tu_81_xTok_000261
beschehenen	beschehen	ADJA	DWB	tu_81_xTok_000263
Abschaffung	Abschaffung	NN	Duden	tu_81_xTok_000264
dannoch	dannoch	ADV	DWB	tu_81_xTok_000266
angemast=	anmaßen	ADJA	Duden	tu_81_xTok_000268
freventlichen	freventlich	ADJA	Duden	tu_81_xTok_000270
Zuruckkehrungen	Zurückkehrung	NN	DWB	tu_81_xTok_000272
zu	zu	APPR	Duden	tu_81_xTok_000274
zwey=	zwei	ADJA	Duden	tu_81_xTok_000276
malen	Mal	NN	Duden	tu_81_xTok_000276b
mit	mit	APPR	Duden	tu_81_xTok_000279
Carbatsch=Streichen	Karbatschenstreich	NN	DWB	tu_81_xTok_000281
in	in	APPR	Duden	tu_81_xTok_000283
dem	d	ART	Duden	tu_81_xTok_000285
Zuchthaus	Zuchthaus	NN	Duden	tu_81_xTok_000287
gezüchtiget	züchtigen	VVPP	Duden	tu_81_xTok_000289
<g/>
,
und	und	KON	Duden	tu_81_xTok_000292
eben so	ebenso	ADV		tu_81_xTok_000293
oft	oft	ADV	Duden	tu_81_xTok_000297
mit	mit	APPR	Duden	tu_81_xTok_000299
Bedrohung	Bedrohung	NN	Duden	tu_81_xTok_000301
des	d	ART	Duden	tu_81_xTok_000303
Bannats	Banat	NE::top	oov	tu_81_xTok_000305
an	an	APPR	Duden	tu_81_xTok_000307
sein	sein	PPOSAT	Duden	tu_81_xTok_000309
Geburts=ort	Geburtsort	NN	Duden	tu_81_xTok_000311
<g/>
,
das	d	ART	Duden	tu_81_xTok_000314
Dritte	dritte	ADJA	Duden	tu_81_xTok_000315
mal	Mal	NN	Duden	tu_81_xTok_000315b
aber	aber	ADV	Duden	tu_81_xTok_000317
würklichen	wirklich	ADV	Duden	tu_81_xTok_000319
nacher	nacher	APPR	DWB	tu_81_xTok_000321
Temeswar	Temeswar	NE::top	oov	tu_81_xTok_000323
in	in	APPR	Duden	tu_81_xTok_000325
