<doc id="fb_17690216_CatharinaJ" delinquent_sexes="female" title="Todesurteil Catharina J." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_92_xTok_000155
ihres	ihr	PPOSAT	Duden	tu_92_xTok_000157
Verbrechens	Verbrechen	NN	Duden	tu_92_xTok_000159
<g/>
.
</head>
<p id="fb_17690216_CatharinaJ_p_0001">
Es	es	PPER	Duden	tu_92_xTok_000161
hat	haben	VAFIN	Duden	tu_92_xTok_000164
diese	diese	PDAT	Duden	tu_92_xTok_000166
Delinquentin	Delinquentin	NN	Duden	tu_92_xTok_000168
aus	aus	APPR	Duden	tu_92_xTok_000170
eigenem	eigen	ADJA	Duden	tu_92_xTok_000172
Gewissensantriebe	Gewissensantrieb	NN	oov	tu_92_xTok_000174
sich	sich	PRF	Duden	tu_92_xTok_000176
selbst	selbst	ADV	Duden	tu_92_xTok_000178
zu	zu	APPR	Duden	tu_92_xTok_000179
Gerichte	Gericht	NN	Duden	tu_92_xTok_000180
gestellet	stellen	VVPP	Duden	tu_92_xTok_000182
<g/>
,
und	und	KON	Duden	tu_92_xTok_000185
freymüthig	freimütig	ADJD	Duden	tu_92_xTok_000187
bekennet	bekennen	VVPP	Duden	tu_92_xTok_000189
<g/>
,
wie	wie	KOUS	Duden	tu_92_xTok_000192
daß	dass	KOUS	Duden	tu_92_xTok_000194
sie	sie	PPER	Duden	tu_92_xTok_000196
Erstens	erstens	ADV	Duden	tu_92_xTok_000198
im	im	APPRART	Duden	tu_92_xTok_000200
Sommer	Sommer	NN	Duden	tu_92_xTok_000201
An.	annus	FM	G-LDHW	tu_92_xTok_000203
1763.	1763	CARD		tu_92_xTok_000207
als	als	KOUS	Duden	tu_92_xTok_000209
sie	sie	PPER	Duden	tu_92_xTok_000211
damals	damals	ADV	Duden	tu_92_xTok_000213
unweit	unweit	APPR	Duden	tu_92_xTok_000215
ihres	ihr	PPOSAT	Duden	tu_92_xTok_000217
Geburtsortes	Geburtsort	NN	Duden	tu_92_xTok_000219
zu	zu	APPR	Duden	tu_92_xTok_000220
Skalko	Skalko	NE::top	oov	tu_92_xTok_000221
im	im	APPRART	Duden	tu_92_xTok_000223
Dienste	Dienst	NN	Duden	tu_92_xTok_000225
gewesen	sein	VAPP	Duden	tu_92_xTok_000227
<g/>
,
aus	aus	APPR	Duden	tu_92_xTok_000230
einer	ein	ART	Duden	tu_92_xTok_000232
gefaßten	fassen	ADJA	Duden	tu_92_xTok_000234
Rache	Rache	NN	Duden	tu_92_xTok_000236
wider	wider	APPR	Duden	tu_92_xTok_000238
die	d	ART	Duden	tu_92_xTok_000240
Richterin	Richterin	NN	Duden	tu_92_xTok_000242
zu	zu	APPR	Duden	tu_92_xTok_000244
gedachtem	gedacht	ADJA	DWB	tu_92_xTok_000246
Kowanecz	Kowanecz	NE::top	oov	tu_92_xTok_000248
ein	ein	ART	Duden	tu_92_xTok_000250
derselben	dieselbe	PDS	Duden	tu_92_xTok_000252
Schwesterkind	Schwesterkind	NN	Duden	tu_92_xTok_000254
zu	zu	PTKZU	Duden	tu_92_xTok_000256
ermorden	ermorden	VVINF	Duden	tu_92_xTok_000258
sich	sich	PRF	Duden	tu_92_xTok_000259
vorgenommen	vornehmen	VVPP	Duden	tu_92_xTok_000261
<g/>
,
und	und	KON	Duden	tu_92_xTok_000265
dann	dann	ADV	Duden	tu_92_xTok_000267
<g/>
,
als	als	KOUS	Duden	tu_92_xTok_000270
sie	sie	PPER	Duden	tu_92_xTok_000272
einstens	einstens	ADV	Duden	tu_92_xTok_000274
von	von	APPR	Duden	tu_92_xTok_000276
ihrem	ihr	PPOSAT	Duden	tu_92_xTok_000278
Dienstherren	Dienstherr	NN	Duden	tu_92_xTok_000280
<g/>
,
etwas	etwas	PIS	Duden	tu_92_xTok_000282
einzukaufen	einkaufen	VVIZU	Duden	tu_92_xTok_000284
<g/>
,
nach	nach	APPR	Duden	tu_92_xTok_000288
Jungbunzlau	Jungbunzlau	NE::top	oov	tu_92_xTok_000290
geschickt	schicken	VVPP	Duden	tu_92_xTok_000293
worden	werden	VAPP	Duden	tu_92_xTok_000296
<g/>
,
um	um	KOUI	Duden	tu_92_xTok_000299
solchen	solch	PIAT	Duden	tu_92_xTok_000301
ihren	ihr	PPOSAT	Duden	tu_92_xTok_000303
mörderischen	mörderisch	ADJA	Duden	tu_92_xTok_000304
Vorsatz	Vorsatz	NN	Duden	tu_92_xTok_000307
zu	zu	PTKZU	Duden	tu_92_xTok_000309
bewerkstelligen	bewerkstelligen	VVINF	Duden	tu_92_xTok_000311
<g/>
,
im	im	APPRART	Duden	tu_92_xTok_000314
Rückwege	Rückweg	NN	Duden	tu_92_xTok_000316
nach	nach	APPR	Duden	tu_92_xTok_000318
Kowanecz	Kowanecz	NE::top	oov	tu_92_xTok_000320
in	in	APPR	Duden	tu_92_xTok_000322
der	d	ART	Duden	tu_92_xTok_000323
Richterin	Richterin	NN	Duden	tu_92_xTok_000325
ihrer	ihr	PPOSAT	Duden	tu_92_xTok_000328
Schwester	Schwester	NN	Duden	tu_92_xTok_000330
Behausung	Behausung	NN	Duden	tu_92_xTok_000332
sich	sich	PRF	Duden	tu_92_xTok_000334
verfüget	verfügen	VVPP	Duden	tu_92_xTok_000336
<g/>
,
sohin	sohin	ADV	Duden	tu_92_xTok_000339
auch	auch	ADV	Duden	tu_92_xTok_000341
<g/>
,
da	da	KOUS	Duden	tu_92_xTok_000344
sie	sie	PPER	Duden	tu_92_xTok_000346
eben	eben	ADV	Duden	tu_92_xTok_000347
derselben	dieselbe	PDS	Duden	tu_92_xTok_000348
zwey	zwei	CARD	Duden	tu_92_xTok_000350
kleinsten	klein	ADJA	Duden	tu_92_xTok_000352
Kinder	Kind	NN	Duden	tu_92_xTok_000354
allein	allein	ADJD	Duden	tu_92_xTok_000356
im	im	APPRART	Duden	tu_92_xTok_000358
Zimmer	Zimmer	NN	Duden	tu_92_xTok_000360
angetroffen	antreffen	VVPP	Duden	tu_92_xTok_000362
<g/>
,
das	d	ART	Duden	tu_92_xTok_000365
dreyjährige	dreijährig	ADJA	Duden	tu_92_xTok_000366
Mägdlein	Mägdlein	NN	Duden	tu_92_xTok_000369
hievon	hievon	PAV	Duden	tu_92_xTok_000371
auf	auf	APPR	Duden	tu_92_xTok_000373
ihren	ihr	PPOSAT	Duden	tu_92_xTok_000375
Arm	Arm	NN	Duden	tu_92_xTok_000377
genommen	nehmen	VVPP	Duden	tu_92_xTok_000379
<g/>
,
mit	mit	APPR	Duden	tu_92_xTok_000382
sich	sich	PRF	Duden	tu_92_xTok_000384
in	in	APPR	Duden	tu_92_xTok_000386
das	d	ART	Duden	tu_92_xTok_000388
Vorhaus	Vorhaus	NN	Duden	tu_92_xTok_000389
hinausgetragen	hinaustragen	VVPP	Duden	tu_92_xTok_000390
<g/>
,
daselbst	daselbst	ADV	Duden	tu_92_xTok_000393
in	in	APPR	Duden	tu_92_xTok_000395
